timestamp,category,value
2025-04-22 21:33:30,B,34
2025-04-22 21:34:02,B,55
2025-04-22 21:34:28,C,16
2025-04-22 21:35:14,B,85
2025-04-22 21:35:28,C,96
2025-04-22 21:35:34,B,87
2025-04-22 21:35:48,C,68
2025-04-22 21:35:49,C,76
2025-04-22 21:35:55,B,54
2025-04-22 21:36:15,A,4
2025-04-22 21:37:02,A,39
2025-04-22 21:37:06,C,52
2025-04-22 21:37:13,B,33
2025-04-22 21:37:36,A,17
2025-04-22 21:37:49,C,24
2025-04-22 21:38:21,B,97
2025-04-22 21:38:42,C,69
2025-04-22 21:39:00,C,92
2025-04-22 21:39:11,A,78
2025-04-22 21:39:25,A,1
2025-04-22 21:39:25,A,75
2025-04-22 21:39:47,A,87
2025-04-22 21:40:04,B,64
2025-04-22 21:40:11,B,65
2025-04-22 21:40:23,C,10
2025-04-22 21:40:30,A,26
2025-04-22 21:40:50,C,5
2025-04-22 21:41:18,B,13
2025-04-22 21:42:00,A,36
2025-04-22 21:42:02,C,53
2025-04-22 21:42:16,C,34
2025-04-22 21:42:21,B,12
2025-04-22 21:43:39,C,68
2025-04-22 21:44:03,B,17
2025-04-22 21:44:05,C,32
2025-04-22 21:44:15,B,90
2025-04-22 21:44:19,C,10
2025-04-22 21:44:51,B,82
2025-04-22 21:44:59,B,99
2025-04-22 21:45:00,A,12
2025-04-22 21:45:12,B,99
2025-04-22 21:45:27,B,69
2025-04-22 21:45:47,B,67
2025-04-22 21:46:17,B,33
2025-04-22 21:46:22,A,39
2025-04-22 21:46:56,C,36
2025-04-22 21:46:58,A,33
2025-04-22 21:47:01,A,62
2025-04-22 21:47:14,A,86
2025-04-22 21:47:34,B,16
